sure what area are you thinking of staying,il-bdiewa jsibu post kbir fil-belt għandhom preferenza fuq liema żona fil-belt
i can help you with that do you have any special area you would like to stay or possibly a star request for the guesthouse,żgur li x'inhi ż-żona li tħares lejha
yes i have many options what side of town did you want to stay on and what price range are you looking for,i can help you with that do you have any special area you would like to stay or possibly a star request for theouslyhouse
sure what area and what price range are you looking for,iva għandek ħafna għażliet fuq liema naħa tal-belt trid tibqa' u liema medda ta' prezzijiet qed tfittex għaliha
can you please tell me what type of place and if you have any preferences,assigura liema qasam u liema medda ta' prezzijiet qed tfittex
i have many options for you whats your price range or the area youre looking in,tista' jekk jogħġbok tgħidli liema tip ta' post u jekk għandek xi preferenzi
what part of town would you like to stay in,i have many options for you whats your price range or the area youre looking in
in what area would you prefer it to be,liema parti tal-belt tixtieq tibqa'
what part of town are you interested in {area} {area} or {area},in what area would you prefer it to be
which area of town would you prefer,liema żona ta' bliet tippreferi
the booking was successful your reference number is {ref} and the total is {price} i can is do you have a price range and what area,i can help you find this information did you have a particular area of town in mind
i can help you find this information did you have a particular area of town in mind,i can certainly help you with that do you have a preferred price range or area
i can certainly help you with that do you have a preferred price range or area,tista' tieħu post li tixtieq tibqa'
can i get an area you would like to stay in,"il konsegwenzi tal [ konsenja huma cb11lh ]{""entity"":"" postcode""} li tista' tgħin biex issib post fejn toqgħod ."
ok that narrows it down to 8 options for you any other preferences,ok that narrows it down to 8 options for you any other preferences
sure thing what side of town would you prefer what price range would you like,żgur li min-naħa tal-belt jippreferi liema medda ta' prezzijiet tixtieq.
sure i can help with that what area will you be staying in,sure i can help with that what area will you be staying in
what type of alternatives would you like to know about,liema tip ta' alternattivi tixtieq tkun taf dwar
what area would you prefer to stay in this will help narrow down your options,liema żona tippreferi li tibqa' f'dan il-qasam se tgħin biex jitnaqqsu l-għażliet tiegħek.
what area of town,liema żona tal-belt
do you have a area of town or price range your interested in,għandek żona ta' belt jew firxa ta' prezzijiet li għandek interess fiha
sure do you have a preference in the area of town,sure do you have a preference in the area of town
sure ill need a little more information is there an area you are interested in,żgur li għandek bżonn ftit aktar informazzjoni hemm żona li għandek interess fiha
i can definitely help you with that what area are you staying in and whats your price range,Kapaċingħinlek b'dak li ż-żona qed toqgħod fiha u x'inhi l-firxa tal-prezzijiet tiegħek
do you have a preference for area or price range,għandek preferenza għal żona jew firxa ta' prezzijiet
okay i have booked your train what part of town would you like to stay in,"il-ferrovija tiegħek, liema parti tal-belt tixtieq tibqa' fi"
of course could you tell me the area you would like to stay in so i can narrow it for you,ovvjament tista' tgħidli ż-żona li tixtieq tibqa' fiha sabiex tkun tista' tnaqqasha għalik
i have several hotels matching your request available what part of town would you prefer,għandek ħafna silenzju biex tqabbel it-talba tiegħek disponibbli liema parti tal-belt tippreferi.
absolutely what area would you like to stay in and what is your price range,liema żona tixtieq tibqa' u x'inhi l-firxa tal-prezzijiet tiegħek
there are quite a few options to choose from do you have a preference regarding price range or which area the guesthouse is located in,hemm ftit għażliet biex tagħżel minn għandek preferenza fir-rigward tal-firxa tal-prezzijiet jew liema żona l-kamra tinsab
sure in what area of town,assigurazzjoni f'liema żona tal-belt
which side of town do you prefer,liema naħa tal-belt tippreferi
"
","
"
intent (DONT TRANSLATE): utter_hotel-request-pricerange,intent (DONT TRANSLATE): utter_hotel-request-pricerange
did you have a price range in mind,għandek firxa ta' prezzijiet f'moħħek
do you have a price range or star rating preference,għandek firxa ta' prezzijiet jew preferenza ta' klassifikazzjoni ta' stilla
do you care about the price range i have one {pricerange} and one {pricerange} hotel that fits your current criteria,"il konsegwenzi tal [ konsenja huma cb11lh ]{""entity"":"" postcode""} li tista' tgħin biex issib post fejn toqgħod ."
okay do you have any preference on price range,għandek kwalunkwe preferenza fuq il-medda tal-prezzijiet
what are you specifically looking for,x'qed tfittex b'mod speċifiku
i can help you with that do you have a particular price point you are looking for,i can help you with that do you have a particular price point you are looking for
do you have a pricerange in mind,għandek żieda qawwija fil-prezz
do you have a price range,għandek firxa ta' prezzijiet
did you have a particular price range in mind,"għandek firxa partikolari ta"" prezzijiet f'moħħek"
do you have a price range in mind,għandek firxa ta' prezzijiet f'moħħek
i can help you with that what price range are you looking at,i can help you with that what price range are you looking at
"
","
"
intent (DONT TRANSLATE): action_booking-inform,intent (DONT TRANSLATE): action_booking-inform
temp action message,"messaġġ ta"" azzjoni temp"
"
","
"
intent (DONT TRANSLATE): utter_booking-request-bookpeople,intent (DONT TRANSLATE): utter_booking-request-bookpeople
yes i would be happy to help you with that information how many rooms will you need,iva għandek tgħin lilek b'din l-informazzjoni kemm se jkollok bżonn kmamar
of course how many people would you like me to make the reservation for,of course how many people would you like me to make the reservation for
ok great and how many people will i be booking for,ok kbir u kemm-il persuna se tkun qed tfittex għal
the {name} is {pricerange} and serves {food} food what time on monday and how many in your party,"jikkonfermaw għall ferrovija l għadd kbir ta' [ passiġġieri li jkollhom jitilqu ]{""entity"": ""ref""} mill ferrovija jekk jogħġbok ."
certainly {name} is in {area} and {pricerange} how many people will be dining,"kemm [ hemm nies għar riżerva ]{""entity"":"" name""} tiegħek"
for how many should i book,għal kemm għandu jitniżżel fil-kotba
sure how many will be in your party and what time would you like to dine,assigura kemm se jkun hemm parteċipazzjoni fil-partit tiegħek u liema żmien tixtieq li tiġi kkonsultat
absolutely the address is {address} post code {postcode} how many people would you like me to make a reservation for,kemm-il kamra se tirreġistra
how many rooms will you book,kemm se jibqgħu nies u kemm se jibqgħu ħajjin
how many people will be staying and how long will you be staying,i will give it a try again how many people will there be
i will give it a try again how many people will there be,kemm għandek bżonn ta' spazju għal
how many people do you need a room for,sure i can how many people in your party and for how many nights
sure i can how many people in your party and for how many nights,kemm-il persuna
how many people,kemm se jkun hemm nies fil-partit tiegħek u kemm tixtieq tibqa' twila
how many people will be in your party and how long would you like to stay,għal kemm-il persuna u ħin jekk jogħġbok
for how many people and time please,kemm hemm fil-parti tiegħek
how many are in your party,"iva, nista' ngħin b'dak il-mod kif ħafna nies se jibqgħu miegħek u kemm-il ġurnata tixtieq tibqa' f'dan il-post"
yes i can definitely help with that how many people will be staying with you and how many days would you like to stay at this location,ċertament kemm se jkun hemm nies fil-partit tiegħek
certainly how many people will be in your party total,ċertament kemm tixtieq tibqa' u kemm hemm fil-partit tiegħek
certainly how long would you like to stay and how many are in your party,għal kemm-il kamra u kemm-il darba ż-żjara tiegħek tkun se tibqa'
for how many rooms and how long is your stay going to be,i can help with that how many people will be staying
i can help with that how many people will be staying,kemm-il persuna fil-kamra u kemm-il lejl tixtieq tibqa'
how many people in the room and how many nights would you like to stay,għandek tkun konxju ta' kemm hemm fil-partit tiegħek u ta' kemm-il lejl ser tkun qed toqgħod
id be happy to how many are in your party and how many nights will you be staying,assigurazzjoni ta' kemm nies u kemm ħin
sure how many people and what time,żgur li l-għadd ta' nies se jkollhom it-tubi.
sure how many people will be dining on tuesday,"ċertament il [ mewġa kemm ]{""entity"": ""area""} se jkunu għaddejjin nies"
for how many people,"l indirizz huwa [ 12 il belt fit toroq ]{""entity"": ""address""} ta' [ lensfield , ]{""entity"":"" postcode""} kemm il persuna tixtieq li tagħmel riżerva għal"
is it just you staying,għal kemm hemm nies
ill be happy to do that for you how many people are in your party,tissokta biss
how many rooms would you like,għandek problemi biex tagħmel dak għalik kemm hemm nies fil-partit tiegħek
okay for how many people,kemm-il kamra tixtieq
sure how many days and how many people,għal kemm-il persuna
absolutely how many people will you have and what time are you wanting the reservation,"il [ laħam ta' l ikel ta' l ]{""entity"": ""name""}[ għaġina x'ħin ]{""entity"": ""food""} għandu jittiekel u kemm għandu jittiekel fil parti tiegħek"
for how many people and how many days,assigura kemm-il jum u kemm-il persuna
how many people will the reservation be for,kemm se jkollok nies u x'ħin irridu r-riżervazzjoni
i can help you with that how many people should i book it for how many days will you be staying,"i have [ two places ]{""entity"": ""choice""} how many people and what time"
sure for what length of stay and how many people please,għal kemm-il persuna u kemm-il jum
ok i am getting the info up now how many people will this be for and what time,kemm se tkun ir-riżerva għal
i have {choice} places how many people and what time,i can help you with that how many people should i book it for how many days will you be staying
there are {choice} restaurants that fit what you are looking for what area would you like and how many people,assigura għal liema tul ta' żjara u kemm-il persuna jekk jogħġbok
sure i need a little information first how many guests will this be for,għal aktar informazzjoni: Marjory van den Broit ( Strasburgu ) tel. ( 33 - 3 ) 881 74588 ( Brussel ) tel. ( 32 - 2 ) 28 481 74588 e - mail: econ-press @ europarl. eu. int
sure just to confirm you need that for 2 people,"[ il prezzijiet tad djar ]{""entity"": ""name""} ivarjaw kemm persuna għandha tiġi reġistrata għal"
{name} is in the {pricerange} price range how many people should i book it for,żgur li għandna bżonn informazzjoni żgħira l-ewwel kemm se jkun għaqli dan għaliex
that one is called {name} how many people will be dining,żgur li għandek tikkonferma li għal 2 persuni
for how many guests please sir,għal kemm jekk jogħġbok imla
how many people is the reservation for,kemm-il persuna hija r-riżerva għal
how many people is that booking for,"l Unjoni Ewropea għandha [ bżonn ta' iktar fondi għall ]{""entity"":"" name""} perjodu 2007 2013 ."
okay how many people will be staying,kemm hemm nies li jistennew għal
im sure they do would it be for the same amount of people and how many days are you staying,ħafna nies se jibqgħu jgħixu
sure how many guests and how many nights,żgur li jkunu għall-istess ammontta' nies u kemm-il ġurnata jkunu għaddejjin
confirm for the train is {ref} how many for the reservation please,assigura kemm-il lejl u kemm-il lejl
sure for how many people,żgur għal kemm-il persuna
how about the {name} how many people for your reservation,"hemm għadd [ ta' ristoranti li ]{""entity"": ""choice""} jixraq dak li qed tfittex għal liema qasam tixtieq u kemm hemm nies"
"
","
"
intent (DONT TRANSLATE): utter_booking-book,intent (DONT TRANSLATE): utter_booking-book
i have booked your reservation for {bookday} at 21:0 {booktime} the reference number is {ref} the phone number is {phone} if you need to contact them,"it tabella tiegħek ġiet reġistrata b'suċċess [ għall Ġurnal ]{""entity"":"" bookday""}[ Uffiċjali hemm ]{""entity"": ""ref""} xi ħaġa oħra li tista' tgħinlek"
ok ive booked at {name} for {bookpeople} at {booktime} on {bookday} your reference number is {ref},"ok we were able to book that for you your confirmation code is [ 1hc1u1tn ]{""entity"": ""ref""}"
i have made a booking for {name} the table will be reserved for 15 minutes reference number is:{ref},"ive booked your table for [ two can ]{""entity"":"" booktime""} i assist you with anything else today"
ive booked your table for t {bookpeople} o for wedne {booktime} day at 16:30 your reference number is:{ref} can i assist you with anything else today,"i kien kapaċijirreġistra n numru ta' referenza tiegħek huwa [ vi3blancq64 . ]{""entity"": ""ref""}"
the booking goes through and the reference number is {ref},"sure i kien kapaċijirreġistra għall kaċċa tal donmarriott bħala referenza għall vaġina b'riferiment għall vaġina b'riferiment għall vaġina b'riferiment għall vaġina b'riferiment għall vaġina b'riferiment għall vaġina b'riferiment għall vaġina b'riferiment għall [ vaġina b'riferiment għall vaġina b'riferiment għall vaġina b'riferiment għall vaġina b'riferiment għall vaġina b'riferiment għall vaġina b'riferiment għall vaġina b'riferiment g ]{""entity"":"" ref""}"
i just completed your booking the table will be reserved for 15 minutes and the reference number is {ref} is there anything else i can help you with,"in numru ta' referenza għandu jiġi kkompletat [ b'mod sħiħ . ]{""entity"": ""ref""}"
booking was successful the table will be reserved for 15 minutes your reference number is:{ref} can i help you with anything else,"in numru ta' referenza tiegħek huwa [ jnluqc toate ]{""entity"": ""ref""}"
i was able to book a table for you the reference number is:{ref} is there anything else you need,"il proċess ta' [ Barċellona għadu għaddej ]{""entity"": ""name""} ."
i have a reservation for you at {booktime} for {bookpeople} your reference number is {ref} and they will only hold your table for 15 minutes just an fyi anything else,"is sett kollu [ tat tabella ]{""entity"": ""booktime""} se jkun disponibbli fl [ 10: 00 ]{""entity"": ""ref""}"
you are booked into {name} your reference number is {ref} do you need anything else,"is sett kollu [ tat tabella ]{""entity"": ""booktime""} se jkun disponibbli fl [ 10: 00 ]{""entity"": ""ref""}"
booking was successful at the {name} for 17:1 {booktime} the table will be reserved for 15 minutes your reference number is:{ref} can i help with anything else,"kollha stipulati għal [ 2 ]{""entity"": ""ref""}"
your reservation reference number is:{ref} the table will be held for 15 minutes from the time of your reservation may i assist you with anything else,"kollha stipulati għal [ 2 ]{""entity"": ""ref""}"
you are all set your reference number for your booking is {ref} is there anything else i can help you with,"il fatt li l kafè fil [ kamra tal ]{""entity"": ""name""} ħasil tal [ ħwejjeġ ikun ]{""entity"":"" address""} hemm xi ħaġa li tista' tgħin"
okay the booking was successful the reference number is {ref} can i help you with anything else,"in numru ta' referenza tiegħek kien ta' suċċess [ r3voqjmb , ]{""entity"": ""ref""} it tabella se tkun riżervata għal 15 il minuta ."
i have booked your room here is your information:booking was successful reference number is:{ref},"i kien kapaċijniżżel [ id depożitu ta' ]{""entity"":"" name""} l [ isponża ]{""entity"": ""ref""}"
i was successfully able to book you a table the reference number is {ref} is there anything else,"alright i għamel l ispjegazzjoni [ mitluba tiegħek ]{""entity"":"" name""} fil ġurnal tal ferrovija bħala għall ferrovija , liema żmien tixtieq titlaq"
your booking is all set your reference number is {ref} is there anything else i can help you with,"ir rispons tiegħek kien ta' suċċess u n numru ta' referenza tiegħek [ kien ta' ]{""entity"": ""ref""}"
that did the trick your booking was successful and your reference number is {ref} is there anything else you need help with today,"ir rispons tiegħek kien ta' suċċess u n numru ta' referenza tiegħek [ kien ta' ]{""entity"": ""ref""}"
i completed your booking your reference number is {ref} is there anything else i could do to help,"it tabella se tkun riżervata għal numru ta' referenza ta' 15 il minuta [ ta'78tyxx kull ]{""entity"": ""ref""} ħaġa"
youre all set the table will be available at {booktime} they can only hold it for 15 minutes though your reference number is:{ref},"għandek riżerva [ għal chiquito ]{""entity"": ""bookday""} Social bar kull ħaġa"
okay youre all set your reference number is {ref},"in numru ta' referenza ta' suċċess ta' l istudju [ kien ta' ]{""entity"": ""ref""}"
yes its {ref},"[ il fatt ]{""entity"": ""name""} li l [ kafè kellu suċċess fil kafè tal ]{""entity"":"" booktime""}[ varjabilità jista' ]{""entity"": ""ref""} jgħin ma' kwalunkwe ħaġa"
your table has been booking reference number {ref} is there anything else i can help you with,"int imniżżel fil kotba għall [ bastiment tar ]{""entity"":"" booktime""}[ ross jista' ]{""entity"": ""ref""} jgħinlek b'kull ħaġa oħra"
excellent you are all booked reference number is {ref} can i help with anything else,"int imniżżel fil kotba għall [ bastiment tar ]{""entity"":"" booktime""}[ ross jista' ]{""entity"": ""ref""} jgħinlek b'kull ħaġa oħra"
i have successfully booked your table your reference number is {ref} anything else i can help you with today,"in numru ta' referenza tiegħek huwa [ zcrt70x4 . ]{""entity"": ""ref""}"
all set your reference number is {ref} do you need any more help,"absolutely i was able to reserve the table for you it will be reserved for 15 minutes the reference number is [ 0cgnoy9r ]{""entity"": ""ref""}"
the booking was successful your reference number is {ref},"iva , in numru ta' referenza tiegħek huwa [ afpbis6f ]{""entity"": ""ref""}"
yes i was able to book you your reference number is {ref} is there anything else i can do for you,"eċċellenti li r riċetta tiegħek kellha numru ta' referenza ta' suċċess , is sustanza [ cxcs0glb għandek ]{""entity"": ""ref""} bżonn xi ħaġa oħra ."
your rooms are reserved reference number {ref},"għandek bżonn ta' iktar informazzjoni [ . ]{""entity"": ""ref""}"
ok i have a table booked for {bookpeople} at {booktime} on {bookday} your reference number is {ref},"għandek bżonn ta' iktar informazzjoni [ . ]{""entity"": ""ref""}"
booking was successful the table will be reserved for 15 minutes reference number is:{ref} is there anything else i can help with,"in numru ta' referenza tiegħek kollu huwa [ k2bo09vq ]{""entity"": ""ref""}"
booking was successful and your reference number is {ref} is there anything else i can assist you with,"huwa mniżżel hawnhekk in numru ref tiegħek [ c1afq9dd hemmhekk ]{""entity"": ""ref""} kull min għandek bżonn"
i have that reserved for you your reference number is {ref},"huwa mniżżel hawnhekk in numru ref tiegħek [ c1afq9dd hemmhekk ]{""entity"": ""ref""} kull min għandek bżonn"
got you your table itll be reserved for 15 minutes your reference number is:{ref} anything else today,"dak li ħadt i kellek bżonn biss kamra akbar in numru ta' referenza tiegħek huwa [ pr0abubi jista' ]{""entity"": ""ref""} jkun ta' għajnuna ulterjuri"
sorry there must have been a glitch in the system you are booked at {name} starting {bookday} for {bookstay} days {bookpeople} guests reference is {ref},"i was able to book you for [ 6 ]{""entity"": ""ref""}"
great that was successful your reference number is {ref},"l istudju kien numru ta' referenza ta' suċċess [ is suċċess ta' is suċċess ta' is suċċess ta' is suċċess ta' ]{""entity"": ""ref""} is suċċess ta' is suċċess ."
i was able to book a reservation for {bookpeople} people at {name} for {bookday} at 11:1 {booktime} your reference number is {ref} is there anything else i may help you with,"ladarba semmejt vawċer u mhux [ vawċer , irreġistrajt fil vawċer tal ]{""entity"":"" name""} armi [ universitarji . ]{""entity"": ""ref""}"
sure your reference number is {ref},"il kworum jitniżżel fil kotba u n numru ta' referenza tiegħek huwa [ 0dju3c37 jista' ]{""entity"": ""ref""} jgħinlek b'kull ħaġa oħra ."
okay your booking was successful the reference number is {ref} the table will be reserved for 15 minutes,"il kworum jitniżżel fil kotba u n numru ta' referenza tiegħek huwa [ 0dju3c37 jista' ]{""entity"": ""ref""} jgħinlek b'kull ħaġa oħra ."
okay i successfully booked that table for you at {booktime} for your party please arrive on time as the table is only reserved for 15 minutesyour reference number is {ref},"in numru ta' referenza tiegħek għar riżervazzjoni tiegħek [ għat tifel tifla ]{""entity"": ""ref""} ."
yes the reference number is {ref},"għandu jkun hemm glitch fis sistema li tkun imniżżel fil [ kotba fil ]{""entity"": ""bookday""} kmamar tal [ pont ]{""entity"": ""ref""}"
ok i was able to reserve a table your reference number is {ref},"aħbarijiet tajbin kienu [ kapaċijirreġistraw il ]{""entity"":"" booktime""}[ Ġurnal Uffiċjali ]{""entity"": ""ref""}"
your reservation for {bookpeople} people at {name} for {bookday} at {booktime} was successful the table will be reserved for 15 minutes reference number is:{ref},"is suċċess ta' l istudju tiegħek kien li [ ttieħed kont tiegħek f'dar il ]{""entity"":"" name""}[ ġimgħa . ]{""entity"": ""ref""}"
i have you booked at {name} at 710 newmarket road the reference number is:{ref},"i was able to successfully book your table for [ five can ]{""entity"": ""ref""} i help you with anything else"
your reservation for 11:00 was successful and your reference number is {ref} is there anything else i can help you with today,"ir [ reġistrazzjoni tiegħek fil kamra tal ]{""entity"": ""name""}[ ġewż tista' ]{""entity"":"" bookday""} tgħin bi kwalunkwe ħaġa oħra"
your reservation number is {ref} is there anything else i may help you with,"ir riżerva tiegħek hija kompluta għal parti ta' [ 3 ]{""entity"": ""ref""}"
your reservation the {name} was successfully booked for {bookday} at {booktime} for {bookpeople} your reference number is:{ref},"hawnhekk ikteb l informazzjoni tiegħek In numru ta' referenza kien ta' suċċess [ . ]{""entity"": ""ref""}"
i have made your reservations and your reference numbers is {ref},"hawnhekk ikteb l informazzjoni tiegħek In numru ta' referenza kien ta' suċċess [ . ]{""entity"": ""ref""}"
okay your booking was successful your reference number is {ref} your table will be reserved for 15 minutes,"ok ive [ għamelk riċetta fiċ ċineg ]{""entity"":"" name""} ta' l [ ivvjaġġar ]{""entity"": ""ref""}"
ive got it booked for you at {booktime} on {bookday} for {bookpeople} people theyll hold your table for 15 minutes your reference number is {ref},"għal aktar informazzjoni: Marjory van den [ Brok Strasburgu tel . 33 3 881 74588 Brussel tel . ]{""entity"": ""name""} 32 2 28 42941 e mail: econ press europarl . eu . int"
the table will be reserved for 15 minutes your reference number is {ref},"għal aktar informazzjoni: Marjory van den [ Brok Strasburgu tel . 33 3 881 74588 Brussel tel . ]{""entity"": ""name""} 32 2 28 42941 e mail: econ press europarl . eu . int"
the booking was successful your reference number is {ref} your table will be reserved for 15 minutes anything else i can do for you,"in numru ta' referenza tiegħek huwa [ dkb62v27 għandek ]{""entity"": ""ref""} bżonn xi ħaġa oħra"
okay i booked you with {name} the table will be reserved for 15 minutes reference number is:{ref},"iva huwa [ ij75kacv ]{""entity"": ""ref""}"
booking was successful the reference number is {ref},"it tabella tiegħek għal [ 6 tista' ]{""entity"": ""bookpeople""} tgħinlek bi kwalunkwe ħaġa llum ."
your room has been booked at the {name} for {bookstay} nights starting {bookday} your reference code is {ref} is there anything else i can do to help you,"ir riżerva tiegħek għall [ għonq nieqes ]{""entity"": ""booktime""}"
ive got your booking set the reference number is {ref},"ive għamel dawk ir riżervi u n numru ta' referenza tiegħek huwa [ 2oqy5dxg ]{""entity"": ""ref""}"
i was able to book your table successfully your reference number is {ref} now what type of accommodations are you looking for today,"it tabella tiegħek se tinżamm għal 15 il minuta numru ta' referenza huwa [ c3hmwgus ]{""entity"": ""ref""}"
youre welcome dont forget your reference number for your dinner reservation:{ref} have a nice day,"it tabella tiegħek se tinżamm għal 15 il minuta numru ta' referenza huwa [ c3hmwgus ]{""entity"": ""ref""}"
your table for {bookpeople} is reserved for {bookday} at 17:3 {booktime} your reference number is {ref},"ir riċetta tiegħek kienet suċċess , in numru ta' referenza tiegħek kien wieħed mis [ suġġetti li ħarġu mill istudju . ]{""entity"": ""ref""}"
i was able to book you for {booktime} on {bookday} tables are held for 15 minutes the reference is {ref},"l istudju kien ta' suċċess , it tabella se tkun riżervata għan numru ta' referenza ta' 15 il minuta [ . ]{""entity"": ""ref""}"
booking was successful reference number is:{ref} anything else i can help you with,"i għamel dawn ir riżervi u n numru ta' referenza tiegħek huwa [ ruxdbyb8 ]{""entity"": ""ref""}"
your room is reserved ref {ref} is there anything else i can help with today,"i biddel il qarrej u rriżenjajt għalik in numru ta' referenza l ġdid tiegħek [ huwa ]{""entity"": ""ref""}"
youre booked at the {name} {address} for {bookpeople} people for {bookstay} our nights tarting {bookday} your reference number is {ref},"ir [ riżerva tiegħek ]{""entity"": ""name""} għal [ 3 ]{""entity"": ""ref""}"
i have booked {name} for {bookpeople} person you didnt mention how many days but that can be taken care of there youre all set,"ir [ riżerva tiegħek ]{""entity"": ""name""} għal [ 3 ]{""entity"": ""ref""}"
youre reference number is {ref} is there anything else i can help you with,"iva għamilt riċetta għalik in numru ta' referenza tiegħek huwa [ t30yc5tl ]{""entity"": ""ref""}"
{name} is located in the {area} it has a {stars} star rating and is {pricerange} there is free parking and internet i have booked it for you,"isem u indirizz tal [ manifattur i responsabbli għall ]{""entity"": ""ref""} ħruġ tal lott"
booking was successful the table will be reserved for 15 minutes reference number is:{ref} do you need anything else,"isem u indirizz tal [ manifattur i responsabbli għall ]{""entity"": ""ref""} ħruġ tal lott"
booking was successful your reference number is {ref} is there anything else i can help you with,"in numru ta reġistrazzjoni jgħaddi minn ġewwa u n numru ta referenza huwa [ ty5h abge1 ]{""entity"": ""ref""}"
okay i have your reservation and the reference number is {ref},"i has booked you at the [ acorn marshouse ]{""entity"":"" name""} can i be of any further help"
i have booked a {bookstay} day stay at {name} for {bookpeople} people the reference number is {ref},"in numru ta' referenza tiegħek [ għandu jiġi mmarkat ukoll fuq ]{""entity"":"" ref""} kull min għandek bżonn ."
booking was successful reference number is {ref},"in numru ta' referenza tiegħek huwa [ dmblancdj4 ]{""entity"": ""ref""}"
i reserved a room for you at the {name} for {bookday} your reference is {ref} please let me know if i can be of further assistance,"it tabella tiegħek se tinżamm għal 15 il minuta numru ta' referenza huwa [ hmwk23p8 ]{""entity"": ""ref""}"
i have your reservation for {bookpeople} at the {name} for {bookstay} nights starting {bookday} can i help with anything else,"kien ta' suċċess in numru ta' referenza tiegħek huwa [ xfs7gqhz ]{""entity"": ""ref""}"
thee booking was successful and your reference number is {ref},"iva , diġà biddlek għalik , in numru ta' referenza l ġdid tiegħek huwa [ btmsng ]{""entity"": ""ref""}"
you are booked your table will be reserved for 15 minutes with reference {ref},"iva , diġà biddlek għalik , in numru ta' referenza l ġdid tiegħek huwa [ btmsng ]{""entity"": ""ref""}"
ok i have booked the {name} for you the reference number is {ref},"iva , diġà biddlek għalik , in numru ta' referenza l ġdid tiegħek huwa [ btmsng ]{""entity"": ""ref""}"
good news i was able to book {bookday} at 15:{booktime} 5 your reference number is {ref},"jien ikkonfermajt ir riżerva tiegħek [ fi ħdan ]{""entity"": ""name""} il [ ġudikatura , ]{""entity"":"" bookpeople""} hemm kull ħaġa li għandek bżonn tgħin"
of course you have a table at that time and your reference number is {ref},"jien nagħżel li [ niddeċiedi u nipprojbixxi kif ]{""entity"":"" name""} xi ħaġa tista' tgħin bis saħħa ta'"
youre booked at {name} for {bookstay} night on {bookday} the reference number is {ref} can i help with anything else,ir-riżerva tiegħek hija kkonfermata u n-numru ta' referenza huwa
got it your table will be held for 15 minutes your reference number is:{ref} is there anything else i can help you with,"in numru ta' referenza kien ta' suċċess , jiġifieri [ 8oe7ixnd , ]{""entity"": ""ref""} hemm kwalunkwe ħaġa li tista' tgħinlek bħalissa ."
booking was successful reference number is:{ref} anything else,"id [ drittijietkollha għandek ]{""entity"": ""bookpeople""} tabella għal [ sitt xhur ]{""entity"": ""ref""}"
your reference number is {ref},"iva , kien f'pożizzjoni li nirreġistra l ħlas għal [ 3 ikun ]{""entity"": ""bookstay""} hemm kwalunkwe ħaġa li tista' tgħinlek"
it is all booked reference number is {ref},"iva , kien f'pożizzjoni li nirreġistra l ħlas għal [ 3 ikun ]{""entity"": ""bookstay""} hemm kwalunkwe ħaġa li tista' tgħinlek"
the reference number is {ref} is there anything else i can assist you with,"magħmul in numru ta' referenza huwa [ ffe8cènv ]{""entity"": ""ref""}"
yes your reference number is {ref},"tista' tgħin lil kwalunkwe [ ħadd ieħor ]{""entity"": ""ref""}"
