I'm looking for a place to stay . It needs to be a guesthouse and include free wifi . ||| Qed infittex post fejn noqgħod . Jeħtieġ li tkun guesthouse u tinkludi wifi b'xejn .
I want to book a table for 4 people at 15:00 on wednesday . Please give me a reference number . ||| Irrid nibbukkja mejda għal 4 persuni fis 15:00 nhar l Erbgħa . Jekk jogħġbok agħtini numru ta' referenza .
Sure thing ! Your reference number is LYIENP77 . Can I help you with anything else today ? ||| Ħaġa żgur ! In numru ta' referenza tiegħek huwa LYIENP77 . Nista ngħinek b xi ħaġa oħra llum ?
I need to find a guesthouse style hotel please . ||| Għandi bżonn insib lukanda stil guesthouse jekk jogħġbok .
The a and b is a guesthouse style hotel in the east area . ||| L a u b hija lukanda stil guesthouse fiż żona tal lvant .
What is its star rating ? I am looking for a place with a star of 0 . ||| X'inhi l istilla tagħha ? Qed infittex post bi stilla ta' 0 .
I have results for 2 guesthouses with 0 star ratings , one is in the north and one is in the centre . Which area do you prefer ? ||| Għandi riżultati għal 2 guesthouses bi klassifikazzjoni 0 stilel , waħda fit tramuntana u waħda fiċ ċentru . Liema żona tippreferi ?
Which one has free parking and wifi ? I will need a phone number , price range and area as well please . ||| Liema waħda għandha parkeġġ u wifi b'xejn ? Ikolli bżonn numru tat telefon , firxa tal prezzijiet u żona wkoll jekk jogħġbok .
The city centre north b and b has parking and wifi . It is in the north area . Would you like to book this hotel ? ||| Iċ ċentru tal belt tramuntana b u b għandu parkeġġ u wifi . Huwa fiż żona tat tramuntana . Tixtieq tibbukkja din il lukanda ?
I don't want a booking . Just give me the phone number and price range , please . ||| Ma rridx prenotazzjoni . Agħtini n numru tat telefon u l firxa tal prezzijiet , jekk jogħġbok .
The City Centre North B and B has a cheap price range . It's phone number is 01223312843 . ||| Iċ City Centre North B u B għandha firxa ta prezzijiet irħas . In numru tat telefon huwa 01223312843 .
That's all I need . Thank you ! ||| Dak kollu li għandi bżonn . Grazzi !
You're welcome . Are you sure I can't help you with transportation between sites ? ||| Ta 'xejn . Int ċert li ma nistax ngħinek bit trasport bejn is siti ?
I am sure . Thank you so much . ||| Jien ċert . Grazzi ħafna .
You are welcome . have a good day ||| Ta 'xejn . il ġurnata t tajba
I want a restaurant in the city centre that serves Italian food . ||| Irrid restorant fiċ ċentru tal belt li jservi ikel Taljan .
There are nine listings available . What price range were you interested in ? ||| Hemm disa' listi disponibbli . X'firxa ta' prezzijiet kont interessat fiha ?
I am interested in a restaurant that is in the expensive price range . ||| Jien interessat f'ristorant li huwa fil firxa tal prezzijiet għaljin .
Clowns Cafe is a restaurant in the city centre with that price range . Would you like to make a reservation ? ||| Clowns Cafe huwa ristorant fiċ ċentru tal belt b'dik il firxa tal prezzijiet . Tixtieq tagħmel riserva ?
Sure ! How close is the Cafe from my current location ? ||| Żgur ! Kemm hu qrib il Kafè mill post attwali tiegħi ?
The Clowns Cafe is in the centre area . Would you like me to book you a reservation ? ||| Il Clowns Cafe jinsab fiż żona taċ ċentru . Tixtieq li nibbukkjak prenotazzjoni ?
Yes , please . I'd like a table for 6 at 18:45 on Friday . ||| Iva jekk jogħġbok . Nixtieq mejda għal 6 fil 18:45 nhar il Ġimgħa .
Booking was successful . The table will be reserved for 15 minutes . Reference number is : F29AMXP7 . ||| Il prenotazzjoni kienet suċċess . Il mejda tkun riservata għal 15 il minuta . In numru ta' referenza huwa: F29AMXP7 .
I also need to HOTEL to stay at in the centre . ||| Għandi bżonn ukoll lukanda biex noqgħod fiċ ċentru .
There are 3 hotels in that area . Would you prefer a moderately priced or expensive hotel ? ||| Hemm 3 lukandi f'dik iż żona . Tippreferi lukanda bi prezz moderat jew għalja ?
No price range , it doesn't have to have internet though . ||| L ebda firxa ta 'prezzijiet , m'għandux għalfejn ikollu l internet għalkemm .
cityroomz is moderate with 0 stars , gonville hotel has 3 stars and is expensive , university arms is also expensive and has 4 stars ? Will any of these do ? ||| cityroomz huwa moderat b'0 stilel , il lukanda gonville għandha 3 stilel u hija għalja , l armi tal università jiswew ukoll u għandha 4 stilel ? Xi waħda minn dawn se tagħmel ?
Are they all hotels or guesthouses ? ||| Huma kollha lukandi jew guesthouses ?
They are all hotels . Is this acceptable ? ||| Dawn huma kollha lukandi . Dan huwa aċċettabbli ?
Sure can I get one with free wifi please ? ||| Żgur li nista 'nikseb wieħed b'wifi b'xejn jekk jogħġbok ?
They all have free wifi . Is there a star rating you prefer ? ||| Kollha għandhom wifi b'xejn . Hemm klassifikazzjoni tal istilla li tippreferi ?
No just book me rooms for six people for two nights . ||| Le biss jibbukkjawli kmamar għal sitt persuni għal żewġ iljieli .
Non of the hotels were available for 2 nights starting on Friday . Would you prefer another date or area . ||| L ebda lukanda ma kienet disponibbli għal 2 iljieli li bdew nhar il Ġimgħa . Tippreferi data jew żona oħra .
Can you book me a room for 1 night instead ? ||| Tista' tibbukkjali kamra għal lejl 1 minflok ?
Your booking at cityroomz was successful , reference number is SEIH4HYO ||| Il prenotazzjoni tiegħek f'cityroomz kienet ta' suċċess , in numru ta' referenza huwa SEIH4HYO
Thank you . I would also like a taxi to commute between the hotel and restaurant . ||| Grazzi . Nixtieq ukoll taxi biex tivvjaġġa bejn il lukanda u r ristorant .
Would you be departing from the restaurant or the hotel ? And when would you like to leave ? ||| Tkun titlaq mir ristorant jew mill lukanda ? U meta tixtieq titlaq ?
I will be departing from the hotel and going to the restaurant . I need to be there in time for my reservation . ||| Se nkun nitlaq mil lukanda u mmur ir ristorant . Għandi bżonn inkun hemm fil ħin għar riservazzjoni tiegħi .
Wonderful , your taxi is booked . It will be a yellow ford and the contact number is 07822741112 . Is there anything else I can help you with ? ||| Wonderful , it taxi tiegħek hija bbukkjata . Se jkun ford isfar u n numru ta' kuntatt huwa 07822741112 . Hemm xi ħaġa oħra li nista' ngħinek biha ?
That's it thanks ! ||| Dak hu grazzi !
You're welcome . Have a wonderful time ! ||| Ta 'xejn . Have a mill isbaħ !
I'm looking for a place to stay in the south of town . It doesn't need to have free parking . ||| Qed infittex post fejn noqgħod fin nofsinhar tal belt . M'għandux għalfejn ikollu parkeġġ b'xejn .
There are 4 hotels that are in the area you are looking for . Would you prefer a 3 or 4 star rated hotel ? ||| Hemm 4 lukandi li qegħdin fiż żona li qed tfittex . Tippreferi lukanda ta' 3 jew 4 stilel ?
I don't care about the star rating as long as it's expensive . ||| Jien ma jimpurtanix mill klassifikazzjoni tal istilla sakemm tkun għalja .
The Lensfield Hotel is the only expensive hotel in the south area . Would you like any more information on this location ? ||| Il Lukanda Lensfield hija l unika lukanda għalja fiż żona tan nofsinhar . Tixtieq aktar informazzjoni dwar dan il post ?
That is perfect can you book that for me please . ||| Dan huwa perfett tista 'tibbukkja li għalija jekk jogħġbok .
The Lensfield Hotel is located in the South . It has a 3 star rating and is expensive . There is free parking and internet . I have booked it for you . ||| Il Lukanda Lensfield tinsab fin Nofsinhar . Għandha klassifikazzjoni ta '3 stilel u hija għalja . Hemm parkeġġ u internet b'xejn . I bbukkejtha għalik .
Thank you . Can you make sure that it's for 5 people staying for two nights , starting Saturday ? Also , would you mind sending me the reference number ? ||| Grazzi . Tista' taċċerta ruħek li hija għal 5 persuni li joqogħdu għal żewġ iljieli , li jibdew is Sibt ? Ukoll , taħseb li tibgħatli n numru ta referenza ?
You're all set the reference is PGX293WD . ||| Inti kollha stabbiliti r referenza hija PGX293WD .
I'd also like to try a restaurant a friend mentioned . The Nirala ? ||| Nixtieq ukoll nipprova restorant li semma ħabib . In Nirala ?
The Nirala is an Indian restaurant on the North side , 7 Milton Road Chesterton . Phone number is 01223360966 . Would you like me to book a reservation ? ||| In Nirala huwa ristorant Indjan fuq in naħa tat Tramuntana , 7 Milton Road Chesterton . In numru tat telefon huwa 01223360966 . Tixtieq li nibbukkja prenotazzjoni ?
Yes I'd like a reservation for 5 at 19:30 , please . ||| Iva nixtieq prenotazzjoni għal 5 fis 19:30 , jekk jogħġbok .
Sure , i can make a reservation , is that going to be on Saturday ? ||| Żgur , nista' nagħmel riserva , dan se jkun is Sibt ?
Yes , the same day . Can I get the reference number , please ? ||| Iva , l istess jum . Nista 'nikseb in numru ta' referenza , jekk jogħġbok ?
Your table has been successfully booked for Saturday . Your reference number is MXDOSQAQ . Is there anything else I can help you with ? ||| Il mejda tiegħek ġiet ibbukkjata b'suċċess għas Sibt . In numru ta' referenza tiegħek huwa MXDOSQAQ . Hemm xi ħaġa oħra li nista' ngħinek biha ?
No that is all . Thank you ! ||| Le dak huwa kollox . Grazzi !
Okay ! Thank you for calling . ||| Okay ! Grazzi talli ċempilt .
I want to find an Italian place to eat near the center of cambridge . ||| Irrid insib post Taljan fejn niekol ħdejn iċ ċentru ta 'Cambridge .
There are nine possibilities to choose from . What price range do you have in mind ? ||| Hemm disa' possibbiltajiet minn fejn jagħżlu . X'firxa ta' prezzijiet għandek f'moħħok ?
I would like for the restaurant to be expensive . ||| Nixtieq li r ristorant ikun għali .
I'd recommend Don Pasquale Pizzeria . Would you like more information on them or to book a reservation ? ||| Nirrakkomanda Pizzeria Don Pasquale . Tixtieq aktar informazzjoni dwarhom jew tibbukkja prenotazzjoni ?
I would like to book a table for 2 ||| Nixtieq nibbukkja mejda għal 2
Great , what day and time would you like to book for ? ||| Kbir , għal liema jum u ħin tixtieq tibbukkja ?
I need the reservation for saturday at 18:15 and I need the reference number too . ||| Għandi bżonn ir riservazzjoni għas Sibt fis 18:15 u għandi bżonn in numru ta' referenza wkoll .
OK , your table is reserved and your Reference number is : 06DKVN3K . Can I help you with anything else today ? ||| OK , it tabella tiegħek hija riżervata u n numru ta' referenza tiegħek huwa : 06DKVN3K . Nista ngħinek b xi ħaġa oħra llum ?
Yes , I also need a hotel room with free wifi also in centre , 4 star , and expensive please . ||| Iva , għandi bżonn ukoll kamra ta' lukanda b'wifi b'xejn ukoll fiċ ċentru , 4 stilel , u għalja jekk jogħġbok .
The University Arms Hotel meets your requirements . Would you like me to book this for you ? ||| L University Arms Hotel tissodisfa r rekwiżiti tiegħek . Tixtieq li nibbukkja dan għalik ?
Could I get their phone number and address , please ? ||| Nista 'nikseb in numru tat telefon u l indirizz tagħhom , jekk jogħġbok ?
Certainty , university arms hotel address is regent street , and the phone number is 01223351241 . ||| Ċertezza , l indirizz tal lukanda tal armi tal università huwa Regent Street , u n numru tat telefon huwa 01223351241 .
I would like to book a taxi to commute between the two places . ||| Nixtieq nibbukkja taxi biex nivvjaġġa bejn iż żewġ postijiet .
I've booked you a grey volkswagen to arrive at the restaurant by 18:15 . Your reference number is 07475385747 . Is there anything else ? ||| Bbukkejtlek volkswagen griż biex tasal fir ristorant sas 18:15 . In numru ta' referenza tiegħek huwa 07475385747 . Hemm xi ħaġa oħra ?
No that's all i need , thank you so much ! ||| Le , dak kollu li għandi bżonn , grazzi ħafna !
Thank you for using our system ! ||| Grazzi talli użajt is sistema tagħna !
I am looking for a hotel . ||| Qed infittex lukanda .
There are a total of 9 hotels . Huntingdon Marriotte Hotel is a good choice with a 4 star rating . Would you like there phone number ? ||| B kollox hemm 9 lukandi . Huntingdon Marriotte Hotel hija għażla tajba bi klassifikazzjoni ta '4 stilel . Tixtieq hemm numru tat telefon ?
I actually need a place that has free wifi and is in the south part of town . And it needs to be a hotel , not a guesthouse . ||| Fil fatt għandi bżonn post li jkollu wifi b'xejn u jinsab fin naħa t'isfel tal belt . U jeħtieġ li tkun lukanda , mhux guesthouse .
The lensfield hotel is the only hotel that matches your criteria . Would you like to book a stay ? ||| Il lukanda lensfield hija l unika lukanda li taqbel mal kriterji tiegħek . Tixtieq tibbukkja waqfa ?
I'd just need their star rating and phone number , thank you . ||| Għandi bżonn biss il klassifikazzjoni tal istilla tagħhom u n numru tat telefon , grazzi .
Absolutely ! The Lensfield hotel is a 3 star hotel and their phone number is 01 223 355017 . Is there anything else I can help you with ? ||| Assolutament ! Il lukanda Lensfield hija lukanda ta 3 stilel u n numru tat telefon tagħhom huwa 01 223 355017 . Hemm xi ħaġa oħra li nista ngħinek biha ?
Yes . I need to find a restaurant called The Cow Pizza Kitchen and Bar ||| Iva . Għandi bżonn insib ristorant jismu The Cow Pizza Kitchen and Bar
That restaurant is located in the centre of town on Corn Exchange Street and their phone number is 01 223 308871 . Is there anything else I can assist you with ? ||| Dak ir restorant jinsab fiċ ċentru tal belt fuq Corn Exchange Street u n numru tat telefon tagħhom huwa 01 223 308871 . Hemm xi ħaġa oħra li nista' ngħinek biha ?
I think you help me with everything I needed Thank you . ||| Naħseb li tgħinni f'dak kollu li kelli bżonn Grazzi .
I'm glad I could assist you , have a great day ! ||| Ninsab kuntenta li stajt ngħinek , il ġurnata tajba !
I'm looking for an expensive restaurant that serves Thai food , please . ||| Qed infittex ristorant għali li jservi ikel Tajlandiż , jekk jogħġbok .
There is one in the west and one in the centre of town . Do you have a preference in area ? ||| Hemm waħda fil punent u waħda fiċ ċentru tal belt . Għandek preferenza fiż żona ?
I don't have a preference in the area . I suppose you could book me a table for two people at 12:30 on Saturday . Also , could i get the reference number ? ||| M'għandix preferenza fiż żona . Nissoponi li tista tibbukkjali mejda għal żewġ persuni f 12:30 is Sibt . Ukoll , nista 'nikseb in numru ta' referenza ?
I booked you a table at the sala thong in the west area for 12:30 Saturday . ||| I bbukkejtlek mejda fis sala thong fiż żona tal punent għas Sibt 12:30 .
Thanks , please provide the reference number . ||| Grazzi , jekk jogħġbok ipprovdi n numru ta' referenza .
The reference number is XLRSFB9Q . Is there anything else that I can do for you ? ||| In numru ta' referenza huwa XLRSFB9Q . Hemm xi ħaġa oħra li nista' nagħmel għalik ?
Thank you for booking that . Could you please book me a taxi to leave from the centre of town at my hotel to the Sala Thong for Saturday at 11:30 ? ||| Grazzi talli bbukkjaw dak . Tista' jekk jogħġbok tibbukkjali taxi biex nitlaq miċ ċentru tal belt fil lukanda tiegħi lejn is Sala Thong għas Sibt fil 11:30 ?
In order to book the taxi , I will need the location of your hotel . ||| Sabiex nibbukkja t taxi , ikolli bżonn il post tal lukanda tiegħek .
I need to find a restaurant in the wast part of town . ||| Għandi bżonn insib restorant fil parti l iskart tal belt .
The Sala Thong restaurant is in the west part of town . ||| Ir ristorant Sala Thong jinsab fil parti tal punent tal belt .
I need a place to stay . I would like it in the same price range as the restaurant with free wifi and parking located in the east . ||| Għandi bżonn post fejn noqgħod . Nixtieqha fl istess firxa ta prezzijiet bħar ristorant b wifi b xejn u parkeġġ li jinsab fil Lvant .
There is only one hotel that fits that , the Express by Holiday Inn Cambridge , would you like to stay there ? ||| Hemm lukanda waħda biss li taqbel ma' dik , l Express by Holiday Inn Cambridge , tixtieq toqgħod hemm ?
yes , please book it for 2 people on saturday for 4 nights . Will you give me the confirmation number when that is complete ? ||| iva , jekk jogħġbok ibbukkjah għal 2 persuni nhar is Sibt għal 4 iljieli . Se tagħtini n numru tal konferma meta dan ikun komplut ?
Sure , booking was successful . Your confirmation number is 7MG032V9 . ||| Żgur , il prenotazzjoni kienet suċċess . In numru tal konferma tiegħek huwa 7MG032V9 .
Could you also book me a taxi between the two location . I would like to be to the restaurant by 12:30 . ||| Tista' tibbukkjali wkoll taxi bejn iż żewġ postijiet . Nixtieq inkun fir ristorant sa 12:30 .
The booking was completed , you are set for departure at 11:30 at the Express by holiday inn and their contact number is 07518044119 . Is there anything else ? ||| Il booking tlesta , inti ssettjat għat tluq fil 11:30 fl Express by holiday inn u n numru ta' kuntatt tagħhom huwa 07518044119 . Hemm xi ħaġa oħra ?
What is the car type that will be picking me up ? ||| X'inhu t tip ta' karozza li se tkun qed tiġborni ?
The car is a black tesla . ||| Il karozza hija tesla sewda .
Okay , that's all I need . Thank you ! ||| Okay , dak kollu li għandi bżonn . Grazzi !
Enjoy your trip ! ||| Igawdu l vjaġġ tiegħek !
I need help finding the Aylesbray Lodge Guest House . Would you be able to give me the address and phone number ? ||| Għandi bżonn għajnuna biex insib l Aylesbray Lodge Guest House . Tkun kapaċi tagħtini l indirizz u n numru tat telefon ?
Absolutely . The phone number is 01223240089 and is located at 5 mowbray road . ||| Assolutament . In numru tat telefon huwa 01223240089 u jinsab f'5 mowbray road .
Could you also let me know the star rating of the hotel , phone number and I'd also like to know if they have wifi . ||| Tista' wkoll tgħarrafni l istilla tal lukanda , in numru tat telefon u nixtieq inkun naf ukoll jekk għandhomx wifi .
The Aylesbray Lodge Guest House has four stars and free internet . ||| L Aylesbray Lodge Guest House għandha erba' stilel u internet b'xejn .
I am also looking for a restaurant called the Michaelhouse cafe . ||| Qed infittex ukoll restorant imsejjaħ il kafetterija Michaelhouse .
The Michaelhouse Cafe offers expensive European cuisine in the center of town . ||| Il Michaelhouse Cafe joffri kċina Ewropea għalja fiċ ċentru tal belt .
Wonderful ! Thank you for your help . ||| Sabiħ ! Grazzi tal għajnuna tiegħek .
Would you like to book a table at the Michaelhouse Cafe ? ||| Tixtieq tibbukkja mejda fil Michaelhouse Cafe ?
No thank you , that's all I need , you have been very helpful . Have a good day ||| Le grazzi , dak kollu li għandi bżonn , kont utli ħafna . Il ġurnata t tajba
If you wish to contact them , their number is 01223309147 . Have a great day . ||| Jekk tixtieq tikkuntattjahom , in numru tagħhom huwa 01223309147 . Have a great day .
I'm looking for a moderately priced place to eat that's in the centre of town . ||| Qed infittex post bi prezz moderat fejn niekol li jinsab fiċ ċentru tal belt .
What type of cuisine are you looking for ? There are 21 restaurants in that area . ||| X'tip ta' kċina qed tfittex ? Hemm 21 restorant f'dik iż żona .
I don't have a preference . ||| M'għandix preferenza .
Out of the 21 restaurant choices , one is the Yippee Noodle Bar which is moderately priced in the centre of town . Would you like to make a reservation ? ||| Mill 21 għażla tar ristoranti , waħda hija l Yippee Noodle Bar li għandu prezz moderat fiċ ċentru tal belt . Tixtieq tagħmel riserva ?
That sounds great , what is the postcode ? ||| Dan ħsejjes kbir , x'inhu l kodiċi postali ?
Their postcode is cb11lh and if you want a reservation just let me know the time , party size , and day and I'll make it for you . ||| Il kodiċi postali tagħhom huwa cb11lh u jekk trid prenotazzjoni tgħarrafni l ħin , id daqs tal parti , u l ġurnata u nagħmel għalik .
Not now , thanks . Here's a weird one , though are there any expensive 0 star hotels in the center of town ? ||| Mhux issa , grazzi . Hawn waħda stramba , għalkemm hemm xi lukandi għaljin ta 0 stilel fiċ ċentru tal belt ?
I'm sorry , but there are no expensive 0 star hotels in the area . Can I help you find something else ? ||| Jiddispjaċini , imma m'hemm l ebda lukandi għaljin ta' 0 stilel fiż żona . Nista ngħinek issib xi ħaġa oħra ?
Do you have a hotel in the moderate price range ? ||| Għandek lukanda fil medda ta' prezzijiet moderata ?
The Cityroomz Hotel is moderatly priced , and has free internet and parking . Would you like to make a reservation now ? ||| Il Lukanda Cityroomz għandha prezz moderat , u għandha internet u parkeġġ b'xejn . Tixtieq tagħmel riserva issa ?
That sounds nice , yes please book a room for 3 guests staying for 5 nights starting on Sunday . ||| Dan ħsejjes sbieħ , iva jekk jogħġbok ibbukkja kamra għal 3 mistednin li joqogħdu għal 5 iljieli li jibdew il Ħadd .
I'm sorry , those particular dates are filled , if you'd like I could try to make the trip shorter or maybe change days ? ||| Jiddispjaċini , dawk id dati partikolari huma mimlija , jekk tixtieq nipprova nagħmel il vjaġġ iqsar jew forsi nbiddel il ġranet ?
How about just for the one night ? ||| Kif dwar biss għall lejl wieħed ?
Alright , I was able to book your hotel room at the Cityroomz , for 3 people , for one night . Your reference number is E62IXZGB . Is there anything else I can do ? ||| Tajjeb , stajt nibbukkja l kamra tal lukanda tiegħek fil Cityroomz , għal 3 persuni , għal lejl wieħed . In numru ta' referenza tiegħek huwa E62IXZGB . Hemm xi ħaġa oħra li nista' nagħmel ?
I will also need a taxi to go from the restaurant to the hotel , I want to leave the restaurant at 02:15 ||| Ikolli bżonn ukoll taxi biex immur mir ristorant sal lukanda , irrid nitlaq mir ristorant fis 02:15
I have booked your taxi . It will be a blue volvo and the contact number is 07729446320 . ||| I bbukkejt it taxi tiegħek . Se jkun volvo blu u n numru ta' kuntatt huwa 07729446320 .
Great . Thanks . That's all I need today . ||| Kbir . Grazzi . Dak hu kollu li għandi bżonn illum .
You're welcome . Have a wonderful visit . ||| Ta 'xejn . Ikollok żjara mill isbaħ .
I'm looking for a place to stay . I'd like to stay in a guesthouse that doesn't need to include internet . ||| Qed infittex post fejn noqgħod . Nixtieq noqgħod ġo guesthouse li m'għandhiex għalfejn tinkludi l internet .
There are a total of 24 guesthouses available . Acorn Guest House has a 4 star rating , offers free wifi and free parking . Would you be interested in booking here ? ||| Hemm total ta 24 guesthouse disponibbli . Acorn Guest House għandha klassifikazzjoni ta '4 stilel , toffri wifi b'xejn u parkeġġ b'xejn . Tkun interessat li tibbukkja hawn ?
Is that in the center of town ? I do need to be in the center . ||| Huwa dak fiċ ċentru tal belt ? Għandi bżonn inkun fiċ ċentru .
Acorn Guesthouse is not in the center , however I found two guesthouses that are . Alexander Bed and Breakfast is 4 stars . Would you like to book there ? ||| Acorn Guesthouse mhix fiċ ċentru , madankollu sibt żewġ guesthouses li huma . Alexander Bed and Breakfast huwa 4 stilel . Tixtieq tibbukkja hemm ?
Yes , please make my reservation at the Alexander Bed and Breakfast . ||| Iva , jekk jogħġbok agħmel ir riservazzjoni tiegħi fl Alexander Bed and Breakfast .
What day would you like to book on and for how long ? ||| F'liema jum tixtieq tibbukkja u għal kemm żmien ?
Could i get the phone number ? ||| Nista 'nikseb in numru tat telefon ?
I am sorry I cannot find Acorn for you . I do however have a four star guesthouse called alexander bed and breakfast . How does that sound ? ||| Jiddispjaċini li ma nistax insib Acorn għalik . Madankollu għandi guesthouse ta' erba' stilel imsejħa alexander bed and breakfast . Kif ħoss ?
That's fine . Can I please have the phone number ? ||| Dak tajjeb . Nista' jekk jogħġbok ikolli n numru tat telefon ?
The phone number for the alexander bed and breakfast is 01223525725 . Is there anything else I can help with today ? ||| In numru tat telefon għall bed and breakfast alexander huwa 01223525725 . Hemm xi ħaġa oħra li nista' ngħin biha llum ?
Yes , may I have the address ? ||| Iva , jista' jkolli l indirizz ?
The phone number for Alexander Bed and Breakfast is 01223525725 . Is there anything else I can help you with ? ||| In numru tat telefon għal Alexander Bed and Breakfast huwa 01223525725 . Hemm xi ħaġa oħra li nista' ngħinek biha ?
I'm also looking for a restaurant that is in the expensive price range and serves spanish food . ||| Qed infittex ukoll restorant li huwa fil medda ta' prezzijiet għaljin u li jservi ikel Spanjol .
unfortunately I do not find any expensive spanish places to dine . Would you like to try something different ? Also the hotels address is 56 saint barnabas road . ||| sfortunatament ma nsib l ebda postijiet Spanjol għaljin biex jieklu . Tixtieq tipprova xi ħaġa differenti ? Ukoll l indirizz tal lukandi huwa 56 triq San Barnaba .
Is there a restaurant in the expensive price range that serves british food ? ||| Hemm restorant fil firxa ta' prezzijiet għaljin li jservi ikel Ingliż ?
There are 6 restaurants fitting that criteria . Is there a particular area of town that you would like ? ||| Hemm 6 ristoranti li jissodisfaw dak il kriterji . Hemm xi żona partikolari tal belt li tixtieq ?
I don't care ||| Jien ma jimpurtaniex
How about Graffiti ? It is located in the west part of town . ||| Kif dwar il Graffiti ? Hija tinsab fil parti tal punent tal belt .
Let's go ahead and make a reservation for 6 at 19:30 for this coming Wednesday . Oh , and can I get that reference number , too , please ? ||| Ejja nimxu 'l quddiem u nagħmlu prenotazzjoni għas 6 fis 19:30 għal dan l Erbgħa li ġej . Oh , u nista 'nikseb dak in numru ta' referenza , ukoll , jekk jogħġbok ?
All right , you have a table for six at the Graffiti . Your reference number is 5DHN40HK . ||| Tajjeb , għandek mejda għal sitta fil Graffiti . In numru ta' referenza tiegħek huwa 5DHN40HK .
Thank you for your time . ||| Grazzi tal ħin tiegħek .
You're welcome . Can I do anything else for you ? ||| Ta 'xejn . Nista 'nagħmel xi ħaġa oħra għalik ?
No . That sounds like everything . Thank you . ||| Le . Dak qisu kollox . Grazzi .
You're welcome . Enjoy your stay . ||| Ta 'xejn . Igawdu l waqfa tiegħek .
Can you find a restaurant the serves gastropub food and is on the east side ? ||| Tista' ssib ristorant li jservi ikel gastropub u jinsab fuq in naħa tal lvant ?
There is one recommendation and that is the Royal Standard . Would you like me to provide the address and phone number ? ||| Hemm rakkomandazzjoni waħda u dik hija l Istandard Irjali . Tixtieq li nipprovdi l indirizz u n numru tat telefon ?
Yes I would like you to provide me the address and phone number of that restaurant . ||| Iva nixtieq li tagħtini l indirizz u n numru tat telefon ta' dak ir restorant .
Certainly , the address is 290 Mill Road City Centre and the phone number is 01223247877 . ||| Ċertament , l indirizz huwa 290 Mill Road City Center u n numru tat telefon huwa 01223247877 .
